epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,15066.8,0.78687,0.58603,1.09616,0.84154,0.88232,0.91171,0.6587,0.99266,0.62718,1.2611,0.0044725,0.0044725,0.0044725
69,15284.7,0.78145,0.58678,1.09021,0.85147,0.86497,0.9089,0.65987,0.99284,0.62707,1.26141,0.00439,0.00439,0.00439
70,15503.4,0.78048,0.57985,1.08664,0.85173,0.86893,0.90883,0.66226,0.98805,0.623,1.25326,0.0043075,0.0043075,0.0043075
71,15721.9,0.77627,0.5752,1.08464,0.85953,0.87322,0.91026,0.66327,0.9891,0.62083,1.25417,0.004225,0.004225,0.004225
72,15940.2,0.77106,0.57232,1.08358,0.85675,0.87318,0.90866,0.66184,0.98866,0.62341,1.25457,0.0041425,0.0041425,0.0041425
73,16159.4,0.77387,0.56314,1.08204,0.85736,0.87331,0.9098,0.66156,0.99101,0.62397,1.25619,0.00406,0.00406,0.00406
74,16377.6,0.76315,0.56478,1.08156,0.86096,0.862,0.90883,0.66171,0.9943,0.62461,1.26164,0.0039775,0.0039775,0.0039775
75,16596.2,0.76207,0.5578,1.07575,0.85998,0.86623,0.9097,0.66134,0.99557,0.62156,1.26435,0.003895,0.003895,0.003895
76,16814.9,0.75843,0.55955,1.07898,0.85382,0.87446,0.91135,0.6627,0.99533,0.62272,1.26521,0.0038125,0.0038125,0.0038125
77,17033.2,0.75337,0.55165,1.07298,0.8551,0.8801,0.91235,0.66329,0.99685,0.62356,1.26654,0.00373,0.00373,0.00373
78,17252.2,0.75569,0.55709,1.0739,0.868,0.87245,0.9116,0.6627,0.99731,0.62502,1.26666,0.0036475,0.0036475,0.0036475
79,17470.5,0.74345,0.54219,1.06963,0.85971,0.87461,0.91098,0.66416,0.9977,0.62457,1.26602,0.003565,0.003565,0.003565
80,17688.7,0.74115,0.54242,1.0654,0.85473,0.87982,0.9116,0.66437,0.99946,0.62944,1.26768,0.0034825,0.0034825,0.0034825
81,17907.2,0.74471,0.5401,1.06977,0.85121,0.87838,0.91114,0.66537,0.99819,0.63113,1.26722,0.0034,0.0034,0.0034
82,18125.7,0.73611,0.53977,1.06158,0.84484,0.88211,0.90834,0.66354,0.99726,0.63339,1.26562,0.0033175,0.0033175,0.0033175
83,18344.8,0.73266,0.52973,1.06128,0.8488,0.87633,0.90833,0.6634,0.9992,0.63285,1.26712,0.003235,0.003235,0.003235
84,18562.9,0.72718,0.52913,1.05887,0.84622,0.88281,0.90985,0.66276,0.99935,0.63564,1.26847,0.0031525,0.0031525,0.0031525
85,18781.2,0.72332,0.52638,1.05346,0.85595,0.87891,0.90937,0.66259,0.99966,0.63733,1.26917,0.00307,0.00307,0.00307
86,18999.8,0.7266,0.53175,1.05634,0.85597,0.87669,0.90731,0.66108,0.99948,0.64069,1.26911,0.0029875,0.0029875,0.0029875
87,19217.7,0.72173,0.5227,1.05396,0.86335,0.86565,0.90896,0.66151,1.00002,0.64113,1.26929,0.002905,0.002905,0.002905
88,19437,0.71478,0.52043,1.05197,0.87286,0.86367,0.90944,0.66233,1.0028,0.64452,1.27344,0.0028225,0.0028225,0.0028225
89,19655.4,0.71388,0.51544,1.05834,0.864,0.86829,0.90881,0.66311,1.00385,0.64393,1.27423,0.00274,0.00274,0.00274
90,19873.6,0.70843,0.51478,1.04794,0.86443,0.87014,0.90851,0.66357,1.00227,0.64541,1.27084,0.0026575,0.0026575,0.0026575
91,20092.9,0.6991,0.50509,1.04343,0.86506,0.87238,0.9077,0.66241,1.00282,0.6456,1.27186,0.002575,0.002575,0.002575
