epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,11783.8,0.92701,0.72083,1.13865,0.79945,0.85646,0.87975,0.62967,1.05668,0.87042,1.21517,0.0069805,0.0069805,0.0069805
63,11973.4,0.92849,0.72222,1.13688,0.79114,0.86367,0.8825,0.6232,1.04927,0.86665,1.20503,0.006931,0.006931,0.006931
64,12164.1,0.93007,0.71758,1.13477,0.77647,0.85705,0.87627,0.62107,1.03747,0.86435,1.19673,0.0068815,0.0068815,0.0068815
65,12353.8,0.91899,0.70677,1.13186,0.75339,0.87499,0.8778,0.61928,1.04174,0.85955,1.19911,0.006832,0.006832,0.006832
66,12542.9,0.9182,0.71504,1.13524,0.76811,0.88337,0.878,0.62404,1.04143,0.8639,1.20379,0.0067825,0.0067825,0.0067825
67,12732.6,0.91345,0.70204,1.13364,0.78085,0.85043,0.87654,0.61976,1.04966,0.8727,1.20713,0.006733,0.006733,0.006733
1,237.908,0.81081,0.58689,1.07975,0.81141,0.831,0.88028,0.62176,1.05296,0.90584,1.22285,0.00332828,0.00332828,0.00332828
2,445.287,0.82517,0.59572,1.08409,0.78018,0.75689,0.8542,0.60263,1.06434,0.89752,1.2186,0.00659567,0.00659567,0.00659567
3,649.203,0.88616,0.661,1.11444,0.76696,0.85119,0.86642,0.58564,1.15068,0.97822,1.27276,0.00979705,0.00979705,0.00979705
4,851.611,0.9466,0.74991,1.15251,0.7898,0.76272,0.84545,0.55873,1.13331,0.94173,1.26335,0.009703,0.009703,0.009703
5,1049.35,0.95874,0.75959,1.15225,0.8021,0.82309,0.85852,0.59039,1.12425,0.93343,1.2575,0.009604,0.009604,0.009604
6,1237.9,0.96712,0.77221,1.16222,0.74373,0.84391,0.86526,0.57625,1.16233,0.95531,1.26983,0.009505,0.009505,0.009505
7,1427.37,0.959,0.76698,1.15726,0.76861,0.7492,0.83531,0.56378,1.14842,0.99234,1.2532,0.009406,0.009406,0.009406
8,1616.42,0.95658,0.75742,1.15362,0.74375,0.83124,0.8448,0.56964,1.10088,0.93783,1.24969,0.009307,0.009307,0.009307
9,1805.01,0.95555,0.75373,1.15159,0.76984,0.8457,0.85746,0.60295,1.10309,0.94125,1.24313,0.009208,0.009208,0.009208
10,1994.71,0.94854,0.75035,1.15091,0.82536,0.77645,0.88253,0.59995,1.1093,0.95726,1.23517,0.009109,0.009109,0.009109
11,2184.48,0.94798,0.74205,1.14877,0.67085,0.87602,0.84059,0.56163,1.1129,0.99675,1.25405,0.00901,0.00901,0.00901
12,2373.11,0.94138,0.74195,1.15091,0.72312,0.83907,0.84273,0.5657,1.13022,0.97997,1.26422,0.008911,0.008911,0.008911
13,2563.18,0.94507,0.74496,1.15228,0.77788,0.79436,0.86749,0.6083,1.08784,0.87555,1.23659,0.008812,0.008812,0.008812
